title,author,rating,ratingnum,preptime,cooktime,totaltime,servings,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,source,link,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26
Chocolate Whoopie Pies,Heather Perine,5, 18 ,40 minutes,13 minutes,53 minutes,12 whoopie pies,16,For the whoopie pies,▢ 2 cups (250 g) all-purpose flour spooned and leveled,▢ ½ cup (45 g) natural unsweetened cocoa powder,▢ 1 teaspoon baking soda,▢ ½ teaspoon instant espresso powder optional,▢ ½ teaspoon salt,"▢ ½ cup (1 stick, 113 g) unsalted butter softened to room temperature",▢ 1 cup (200 g) packed light brown sugar,▢ 1 large egg at room temperature,▢ 1 ½ teaspoons vanilla extract,▢ 1 cup (240 ml) buttermilk at room temperature,Boston Girl Bakes,https://www.bostongirlbakes.com/chocolate-whoopie-pies/,For the frosting:,"▢ ¾ cup (1 ½ sticks, 170 g) unsalted butter softened",▢ 1 ½ cups (170 g) powdered sugar,▢ 1 ½ Tablespoons heavy cream,▢ 1 ½ teaspoons vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Covered Oreos,Heather Perine,5, 9 ,15 minutes,5 minutes,35 minutes,36 oreos,3,▢ 1 package oreo cookies about 36 cookies,▢ 24 ounces candy melts *see note,▢ Sprinkles optional,NA,NA,NA,NA,NA,NA,NA,NA,Boston Girl Bakes,https://www.bostongirlbakes.com/chocolate-covered-oreos/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eggless Chocolate Chip Cookies,Heather Perine,5, 9 ,15 minutes,10 minutes,25 minutes,12 -14 cookies,10,▢ 2 Tablespoons cornstarch,▢ 2 Tablespoons water,▢ 1 ½ cups (180 g) all-purpose flour,▢ ½ teaspoon baking soda,▢ ½ teaspoon salt,"▢ 1/2 cup (1 stick, 113 g) unsalted butter softened",▢ ½ cup (107 g) packed light brown sugar,▢ ¼ cup (50 g) granulated sugar,▢ 1 teaspoon vanilla extract,▢ 1 cup (170 g) semi-sweet chocolate chips,NA,Boston Girl Bakes,https://www.bostongirlbakes.com/eggless-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Browned Butter Chocolate Chip Cookies,Heather Perine,5, 12 ,30 minutes,10 minutes,40 minutes,24 cookies,10,"▢ 1 cup (2 sticks, 226 g) salted butter",▢ 2 1/2 cups (300 g) all-purpose flour,▢ 1 teaspoon baking soda,▢ 1 teaspoon kosher salt,▢ 1 cup ( 213 g) packed light brown sugar,▢ 1/2 cup (99 g) granulated sugar,▢ 2 large eggs whisked,▢ 2 teaspoons vanilla extract,▢ 2 cups 340 g) semi-sweet chocolate chips,"▢ flaked sea salt (for sprinkling), optional",NA,Boston Girl Bakes,https://www.bostongirlbakes.com/salted-browned-butter-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peppermint Meringue Cookies,Heather Perine,5, 2 ,15 minutes,45 minutes,NA,48 cookies,5,"▢ 3 egg whites large, at room temperature",▢ 1/4 teaspoon cream of tartar,▢ 2/3 cup (133 g) granulated sugar,▢ 1/4 teaspoon peppermint extract,▢ Drops of red food coloring optional,NA,NA,NA,NA,NA,NA,Boston Girl Bakes,https://www.bostongirlbakes.com/peppermint-meringue-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flourless Chocolate Walnut Cookies,Heather Perine,5, 3 ,20 minutes,15 minutes,35 minutes,24 cookies,8,▢ 3 cups (360 g) confectioners’ sugar,▢ 1/2 cup plus 3 tablespoons (69 g) unsweetened Dutch-process cocoa powder,▢ 1/2 teaspoon espresso powder,▢ 1/2 teaspoon salt,▢ 3/4 cup (128 g) miniature chocolate chips,▢ 2 cups (230 g) walnut halves toasted and chopped,▢ 4 large egg whites at room temperature,▢ 1 tablespoon pure vanilla extract,NA,NA,NA,Boston Girl Bakes,https://www.bostongirlbakes.com/flourless-chocolate-walnut-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whole Wheat Chocolate Chip Cookies,Heather Perine,4.88, 8 ,10 minutes,10 minutes,20 minutes,24 cookies,10,▢ 3 cups (339 g) whole wheat flour,▢ 1 tsp baking soda,▢ 1½ tsp baking powder,▢ 1½ tsp kosher salt,"▢ 1 cup (2 sticks, 226 g) unsalted butter softened",▢ 1/2 cup (99 g) granulated white sugar,▢ 1 1/2 cups (320 g) light brown sugar,▢ 2 tsp vanilla extract,▢ 2 large eggs room temperature,"▢ 2 cups (12 oz, 340 g) semi-sweet chocolate chips",NA,Boston Girl Bakes,https://www.bostongirlbakes.com/whole-wheat-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homemade Graham Crackers Recipe,Heather Perine,5, 1 ,20 minutes,20 minutes,10 minutes,20 cookies,11,▢ 2¼ cups (270 g) all-purpose flour,▢ ¼ cup (27 g) whole wheat flour,▢ ¼ tsp cinnamon,▢ ¼ tsp baking soda,▢ ¼ tsp salt,▢ ½ cup (1 stick) unsalted butter at room temperature,▢ ½ cup (99 g) granulated sugar,▢ ¼ cup (53 g) light brown sugar packed,▢ 1 tsp. vanilla extract,▢ 1/4 cup water,▢ ¼ cup turbinado sugar or substitute with regular brown sugar or granulated sugar,Boston Girl Bakes,https://www.bostongirlbakes.com/old-fashioned-graham-crackers/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Levain Bakery Chocolate Chip Walnut Cookies,Heather Perine,5, 9 ,10 minutes,10 minutes,20 minutes,12 cookies,12,▢ 1 cup (2 sticks) Cold Unsalted Butter cut into small cubes,▢ 1 cup (213 g) Light Brown Sugar,▢ 1/2 cup (99 g) Granulated Sugar,▢ 2 large Eggs,▢ 2 teaspoons vanilla extract,▢ 1 1/2 cups (180 g) Cake Flour,▢ 1 1/2 cups (180 g) All Purpose Flour,▢ 1 teaspoon Cornstarch,▢ 3/4 teaspoon Baking Soda,▢ 3/4 teaspoon Salt,▢ 2 cups Semi-sweet Chocolate Chips,Boston Girl Bakes,https://www.bostongirlbakes.com/levain-bakery-chocolate-chip-cookies/,▢ 2 cups Walnuts roughly chopped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flourless Chocolate Cookies,Heather Perine,4.60, 5 ,25 minutes,10 minutes,35 minutes,12 -14 cookies,7,▢ 1 1/2 cups (225 g) semi-sweet or bittersweet chocolate chips divided,▢ 3 large egg whites room temperature,▢ 2 cups (240 g) powdered sugar divided,▢ 1/2 cup (42 g) unsweetened cocoa powder,▢ 1 tablespoon cornstarch,▢ 1/4 teaspoon salt,▢ additional powdered sugar for rolling,NA,NA,NA,NA,Boston Girl Bakes,https://www.bostongirlbakes.com/flourless-fudge-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ginger Molasses Cookies,Heather Perine,5, 8 ,30 minutes,10 minutes,40 minutes,24 cookies,10,▢ 2 ¼ cups (270 g) all purpose flour,▢ 1 ½ teaspoons ground ginger,▢ 1 ½ teaspoons baking soda,▢ 1 teaspoon cinnamon,▢ ½ teaspoon table salt,"▢ ½ cup (1 stick, 113 g) unsalted butter, softened",▢ ½ cup (99 g) granulated white sugar,▢ ½ cup (107 g) light brown sugar,▢ 1 large egg room temperature,▢ ⅓ cup (113 g) unsulphured molasses – I used Grandma’s,NA,Boston Girl Bakes,https://www.bostongirlbakes.com/ginger-molasses-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red Velvet White Chocolate Chip Cookies,Heather Perine,5, 9 ,15 minutes,10 minutes,25 minutes,18 cookies,13,"▢ 2 cups (8 ½ ounces, 240 g) all-purpose flour","▢ 1/4 cup (¾ ounces, 21 g) unsweetened cocoa powder",▢ 1 teaspoon baking soda,▢ ½ teaspoon baking powder,▢ ½ teaspoon table salt,"▢ ½ cup (1 stick,113 g unsalted butter) softened","▢ ¾ cup (5 ½ ounces, 160 g) light brown sugar","▢ ¼ cup (1 ¾ ounces, 50 g) granulated white sugar",▢ 1 large egg room temperature,▢ 1 ½ tablespoons buttermilk or regular milk,▢ 1 ½ teaspoons vanilla extract,Boston Girl Bakes,https://www.bostongirlbakes.com/red-velvet-white-chocolate-chip-cookies/,▢ 1 tablespoon red food coloring,"▢ 1 cup (6 ounces, 170 g) white chocolate chips",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nutella Stuffed Peanut Butter Cookies,Heather Perine,5, 2 ,NA,10 minutes,10 minutes,24 cookies,10,▢ 1/4 cup (50 g) granulated sugar plus additional sugar to roll cookies in,▢ 3/4 cup (160 g) packed light brown sugar,"▢ 8 tbsp (1 stick,, 113 g) unsalted butter softened to room temperature",▢ 1 large egg room temperature,▢ 1 cup (270 g) smooth peanut butter,▢ 1 teaspoon vanilla,▢ 1/2 teaspoon salt,▢ 1/2 teaspoon baking soda,▢ 1 1/2 cups (180 g) all purpose flour,▢ 1/2 cup (160 g) Nutella,NA,Boston Girl Bakes,https://www.bostongirlbakes.com/nutella-stuffed-peanut-butter-cookies-gluten-free/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Nutella Cookies,Heather Perine,Noratingsyet,,10 minutes,10 minutes,20 minutes,24 cookies,11,▢ 1/4 cup granulated white sugar,▢ 3/4 cup brown sugar,▢ 8 tablespoons unsalted butter softened,▢ 1 large egg,▢ 1 cup creamy peanut butter,▢ 1 teaspoon vanilla,▢ 1/2 teaspoon baking soda,▢ 1/2 teaspoon salt,▢ 1 1/2 cups all purpose flour,▢ 1/2 cup Nutella,▢ 1/4 cup sugar for dipping,Boston Girl Bakes,https://www.bostongirlbakes.com/peanut-butter-nutella-cookies-gluten-free-too/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter M&M Cookies,Heather Perine,5, 1 ,10 minutes,15 minutes,25 minutes,24 cookies,11,▢ 1/4 cup granulated white sugar plus additional sugar to roll cookies in,▢ 3/4 cup brown sugar,"▢ 8 tbsp unsalted softened butter 1 stick, 4 ounces",▢ 1 egg,▢ 1 cup smooth peanut butter,▢ 1 teaspoon vanilla,▢ 1/2 teaspoon salt,▢ 1/2 teaspoon baking soda,▢ 1 1/2 cups flour,▢ 1 cup miniature chocolate chips,▢ 1 cup peanut M&M's,Boston Girl Bakes,https://www.bostongirlbakes.com/peanut-butter-mm-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M&M Christmas Cookies,Heather Perine,5, 3 ,15 minutes,10 minutes,25 minutes,16 cookies,12,▢ 1 1/2 cups (180 g) all purpose flour,▢ 2 teaspoons cornstarch,▢ 1/2 teaspoon baking soda,▢ 1/4 teaspoon salt,"▢ 8 tablespoons (1 stick, 113 g) unsalted butter softened",▢ 3/4 cup (160 g) packed light brown sugar,▢ 1/4 cup (50 g) granulated white sugar,▢ 1 large egg room temperature,▢ 1 1/2 teaspoons vanilla extract,▢ 1 cup M&M chocolate candies,▢ 1 cup semi-sweet chocolate chips,Boston Girl Bakes,https://www.bostongirlbakes.com/mm-christmas-cookies-baking-with-jord-watches/,▢ 1/2 cup sprinkles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Double Chocolate Cookies,Heather Perine,Noratingsyet,,15 minutes,11 minutes,41 minutes,12 large cookies,11,"▢ 1 cup (226 g, 2 sticks) Cold Unsalted Butter cut into small cubes",▢ 1 cup (213 g) packed light brown Sugar,▢ ½ cup (99 g) granulated white sugar,▢ 2 large eggs,▢ ½ cup (42 g) dark Baking Cocoa powder,▢ 1 cup (120 g) Cake Flour,▢ 1½ cup (180 g) All-Purpose Flour,▢ 1 teaspoon Cornstarch,▢ ¾ teaspoon Baking Soda,▢ ½ teaspoon Kosher Salt,▢ 1⅓ cup (226 g) Semisweet Chocolate Chips,Boston Girl Bakes,https://www.bostongirlbakes.com/dark-chocolate-chip-cookies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reese’s Peanut Butter Cookies,Heather Perine,5, 2 ,15 minutes,10 minutes,25 minutes,24 cookies,11,▢ 1 1/2 cups (180 g) all-purpose flour,▢ 1/2 teaspoon baking soda,▢ 1/2 teaspoon salt,▢ 1/4 cup (50 g) granulated sugar plus additional sugar to roll cookies in,▢ 3/4 cup (160 g) packed light brown sugar,"▢ 1/2 cup (1 stick, 113) unsalted butter softened to room temperature",▢ 1 large egg room temperature,▢ 1 cup (135 g) smooth peanut butter,▢ 1 teaspoon vanilla extract,▢ 1 cup (170 ) peanut butter chips,▢ 1 cup Reese's pieces,Boston Girl Bakes,https://www.bostongirlbakes.com/reeses-peanut-butter-cookie-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Baileys Macarons,Heather Perine,5, 1 ,40 minutes,15 minutes,55 minutes,16 macarons,19,For the macaron shells,▢ 1 packed cup (145) grams almond flour,▢ 2/3 packed cup (145) grams confectioners’ sugar,▢ 1/4 cup 25 grams Dutch-process cocoa powder,▢ pinch fine sea salt,▢ 1 tablespoon (5 grams) powdered egg white,▢ 3/4 cup (150 grams) granulated sugar,"▢ 1/2 cup (115 grams) aged egg whites, about 4 eggs",▢ 1/2 teaspoon 3 grams cream of tartar,For the filling,▢ 4 ounces bittersweet or semi-sweet chocolate chopped,Boston Girl Bakes,https://www.bostongirlbakes.com/chocolate-baileys-macarons/,▢ 2 ounces heavy cream,▢ 2 ounces Bailey’s Irish Cream,▢ Silicone Baking Mat,▢ Kitchen Scale,▢ Mixer,▢ Food Processor,▢ 18-inch piping bags,▢ Round Tip,NA,NA,NA,NA,NA,NA,NA
Chocolate M&M Pecan Cookies,Heather Perine,Noratingsyet,,15 minutes,12 minutes,27 minutes,24 cookies,11,▢ 2 1/2 cups (300 grams) all-purpose flour,▢ 1 teaspoon baking soda,▢ 3/4 teaspoon salt,▢ 16 Tablespoons (226 grams) unsalted butter melted and cooled slightly,▢ 1 1/2 cups (320 grams) packed light brown sugar,▢ 1/2 cup (42 grams) natural cocoa powder not Dutch-process,▢ 2 large eggs lightly beaten,▢ 1 1/2 teaspoons vanilla extract,▢ 1/2 cup (85 grams) semi-sweet or bittersweet chocolate chips,▢ 1 cup (85 grams) M&M’s,▢ 1 cup (128 grams) pecans toasted and chopped,Boston Girl Bakes,https://www.bostongirlbakes.com/super-chunky-chocolate-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
French Madeleines,Heather Perine,5, 1 ,20 minutes,10 minutes,30 minutes,18 cakes,6,▢ 3/4 cup (148 g) granulated sugar,▢ 3/4 cup (90 g) all purpose flour,▢ 1/2 teaspoon baking powder,▢ 1 tablespoon lemon zest,▢ 4 large egg whites room temperature,"▢ 1/2 cup (113 g, 8 Tablespoons) unsalted butter melted",NA,NA,NA,NA,NA,Boston Girl Bakes,https://www.bostongirlbakes.com/make-french-madeleines/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red Velvet Chocolate Chip Snowball Cookies,Heather Perine,5, 1 ,10 minutes,20 minutes,30 minutes,48 cookies,8,▢ 2 cups all-purpose flour,▢ 1/4 cup sugar,▢ 1 cup butter softened,▢ 2 Tablespoons cocoa powder,▢ 1 teaspoon vanilla,▢ 1 ounce red food coloring more if you want a deeper red color,▢ 1 cup mini chocolate chips,▢ powdered sugar,NA,NA,NA,Boston Girl Bakes,https://www.bostongirlbakes.com/red-velvet-mini-chip-snowball-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Peppermint Kiss Cookies,Heather Perine,3, 1 ,20 minutes,10 minutes,30 minutes,24 cookies,9,▢ 1 1/2 Cups (170 grams) semi-sweet or bittersweet chocolate chips Divided,▢ 3 (105 grams) large egg whites room temperature,▢ 2 cups (227 grams) powdered sugar divided,▢ 1/2 cup (42 grams) unsweetened cocoa powder,▢ 1 tablespoon cornstarch,▢ 1/4 teaspoon salt,▢ 1/2 teaspoon peppermint extract,▢ additional powdered sugar for rolling,▢ 24 chocolate kiss candies,NA,NA,Boston Girl Bakes,https://www.bostongirlbakes.com/candy-cane-kiss-chocolate-crinkles/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Halloween Sugar Cookies,Heather Perine,5, 1 ,45 minutes,10 minutes,55 minutes,36 cookies,18,For the cookies,"▢ 2 1/4 cups (270 g) all-purpose flour spooned and leveled, plus more for dusting",▢ 1/2 cup (42 g) unsweetened cocoa powder,▢ 1/2 teaspoon salt,▢ 1/4 teaspoon baking soda,"▢ 3/4 cup (1 1/2 sticks, 170 g) unsalted butter at room temperature",▢ 1 1/4 cups (250 g) granulated sugar,▢ 1 large egg room temperature,▢ 1/2 teaspoon vanilla extract,▢ 3 ounces semisweet or bittersweet chocolate melted,For the frosting:,Boston Girl Bakes,https://www.bostongirlbakes.com/halloween-chocolate-sugar-cut-cookie-sandwiches/,"▢ 1 1/4 cups (2 1/2 sticks, 283 g) unsalted butter softened to room temperature",▢ 2 1/2 cups (283 g) confectioner sugar,▢ 2 Tablespoon heavy cream,▢ 2 teaspoons vanilla extract,▢ pinch of salt,▢ food coloring optional,▢ sprinkles. optional,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Candy Corn Cookies,Heather Perine,5, 1 ,NA,NA,NA,NA,10,▢ 1/2 cup sugar 1/4 cup additional to roll cookies,▢ 1/2 cup brown sugar,▢ 1 stick butter at room temperature,▢ 1 egg,▢ 1 cup smooth peanut butter,▢ 1 teaspoon vanilla,▢ 1/2 teaspoon salt,▢ 1/2 teaspoon baking soda,▢ 1 1/2 cups flour,▢ candy corn for topping,NA,Boston Girl Bakes,https://www.bostongirlbakes.com/candy-corn-peanut-butter-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flourless Peanut Butter Chocolate Chip Cookies,Heather Perine,5, 1 ,10 minutes,8 minutes,18 minutes,20 cookies,8,▢ 1 cup smooth peanut butter,▢ 3/4 cup light brown sugar,▢ 1/2 teaspoon baking soda,▢ pinch of salt,▢ 1 large egg,▢ 1 teaspoon vanilla extract,▢ 1 cup butterfinger baking bits,▢ 1/2 cup semi-sweet chocolate chips,NA,NA,NA,Boston Girl Bakes,https://www.bostongirlbakes.com/flourless-butterfinger-peanut-butter-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston Creme Pie Macarons,Heather Perine,5, 4 ,NA,10 minutes,10 minutes,20 macarons,18,For the Vanilla Macarons,▢ 200 g confectioners' sugar close to 2 cups,▢ 100 g almond flour close to 1 cup,▢ 120 g room temperature egg whites around 3 large egg whites,▢ 1/2 teaspoon vanilla extract,▢ 1/8 teaspoon teaspoon salt,▢ 40 g sifted granulated sugar or caster sugar (3 Tablespoons),For the Pastry Cream,▢ 2 cups (480 mL) whole milk,▢ 1/2 cup (100 g) granulated sugar,▢ 1/2 tablespoon vanilla extract,Boston Girl Bakes,https://www.bostongirlbakes.com/boston-creme-pie-macarons/,▢ 1/8 teaspoon kosher salt,▢ 4 large egg yolks,▢ 1/4 cup (28 g) cornstarch,▢ 2 Tablespoons (28 g) unsalted butter cut into pieces,For the ganache,"▢ 1 1/3 cups (8 ounces, 226 g) semi-sweet or bittersweet chocolate chips","▢ 1 cup (8 ounces, 227 g) heavy cream",NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Chip M&M Oatmeal Cookies,Heather Perine,4.67, 3 ,20 minutes,25 minutes,45 minutes,16 -20 large cookies,11,▢ 1½ cups (180 g) all-purpose flour,▢ ½ teaspoon baking powder,▢ ½ teaspoon salt,"▢ 1 cup (2 sticks, 227 g) unsalted butter, softened but still cool",▢ 1 cup (213 g) packed light brown sugar,▢ 1 cup (200 g) granulated sugar,▢ 2 large eggs room temperature,▢ 2 teaspoons vanilla extract,▢ 3 cups (300 g) old fashioned oats,▢ 1 cup (170 g) M&M's chocolate candies,▢ 1 cup (170 g) semi-sweet chocolate chips,Boston Girl Bakes,https://www.bostongirlbakes.com/mm-oatmeal-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lemon Thumbprint Cookies,Heather Perine,5, 1 ,10 minutes,15 minutes,25 minutes,14 cookies,12,For the cookies,"▢ ½ cup (1 stick, 113 g) unsalted butter softened",▢ ⅓ cup (67 g) granulated white sugar,▢ 1 large egg yolk,▢ 1 teaspoon vanilla extract,▢ 1 cup + 2 Tbs. (135 g) all purpose flour,▢ ½ teaspoon salt,▢ ¼ cup lemon curd,For the lemon glaze,▢ ½ cup (60 g) confectioners sugar,▢ 1 tablespoon lemon juice,Boston Girl Bakes,https://www.bostongirlbakes.com/lemon-thumbprint-cookies-and-some-fun-news/,▢ ¼ teaspoon vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microwave Lemon Curd,Heather Perine,Noratingsyet,,5 minutes,5 minutes,10 minutes,1 cups,4,▢ 1/2 cup (120 mL) freshly squeezed lemon juice,▢ 1/2 cup (100 g) granulated white sugar,"▢ 1/4 cup (4 tablespoons, 57 g) unsalted butter melted and slightly cooled (4 tablespoons)",▢ 1 large egg,NA,NA,NA,NA,NA,NA,NA,Boston Girl Bakes,https://www.bostongirlbakes.com/easy-microwave-lemon-curd/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flourless Oatmeal Chocolate Chip Cookies,Heather Perine,5, 2 ,10 minutes,10 minutes,20 minutes,20 large cookies,9,"▢ 1/4 cup (4 Tablespoons, 57 g) unsalted butter at room temperature",▢ 1 cup (270 g) smooth peanut butter,▢ 3/4 cup (160 g) packed light brown sugar,▢ 1/2 cup (100 g) granulated white sugar,▢ 2 large eggs lightly beaten,▢ 1 1/2 teaspoons baking soda,▢ 1 teaspoon pure vanilla extract,▢ 3 cups (267 g) old fashioned rolled oats,▢ 2 cups (340 g) semi-sweet chocolate chips,NA,NA,Boston Girl Bakes,https://www.bostongirlbakes.com/flourless-oatmeal-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cut-Out Sugar Cookies,Heather Perine,5, 2 ,15 minutes,10 minutes,25 minutes,40 cookies,7,▢ 1 cup (226 g) butter softened to room temperature,▢ 1 cup (114 g) powdered (confectioners or icing) sugar,"▢ 1 large egg room temperature, lightly beaten",▢ 1 ½ teaspoon vanilla extract,▢ ½ teaspoon almond extract,▢ ½ teaspoon salt,▢ 2 ⅓ cups (280 g) all purpose flour spooned and leveled,NA,NA,NA,NA,Boston Girl Bakes,https://www.bostongirlbakes.com/cut-out-sugar-cookies-with-royal-icing/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin White Chocolate Pudding Mix Cookies,Heather Perine,5, 1 ,10 minutes,10 minutes,20 minutes,36 cookies,12,"▢ 1 cup (2 sticks, 226 g) unsalted butter melted",▢ 2 1/4 cups (270 g) all purpose flour,▢ 1 teasoon salt,▢ 1 teaspoon baking soda,▢ 1 package instant pumpkin spice pudding mix *see note,▢ 1/4 cup (50 g) granulated sugar,▢ 1 1/4 cups (267 g) dark brown sugar (can also use light),▢ 1 large egg room temperature,▢ 1 large egg yolk,▢ 1 1/2 teaspoons vanilla extract,▢ 2 Tablespoon milk,Boston Girl Bakes,https://www.bostongirlbakes.com/pumpkin-white-chocolate-pudding-mix-cookies/,▢ 2 cups (170 g) white chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Halloween Homemade Oreos,Heather Perine,5, 2 ,NA,NA,NA,25 cookies,15,For the cookies,▢ 1 1/4 cups 155 grams all-purpose flour,"▢ 1/2 cup 45 grams, but cocoa weights can vary greatly unsweetened Dutch process cocoa",▢ 1 teaspoon baking soda,▢ 1/4 teaspoon baking powder,▢ 1/4 teaspoon salt,▢ 1 cup sugar,"▢ 1/2 cup plus 2 tablespoons 1 1/4 sticks or 140 grams room-temperature, unsalted butter",▢ 1 large egg,For the filling,▢ 1/2 cup unsalted butter softened,Boston Girl Bakes,https://www.bostongirlbakes.com/homemade-halloween-oreos/,▢ 1 1/2 cups confectioners’ sugar,▢ 1 teaspoon vanilla extract,▢ 1 tablespoon milk,▢ Pinch of kosher salt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
